# conf	year	title	filename	source_url	source_type
NeurIPS	2021	A Universal Law of Robustness via Isoperimetry	NeurIPS2021 - A Universal Law of Robustness via Isoperimetry.pdf	https://arxiv.org/pdf/2105.12806	arxiv
NeurIPS	2021	On the Expressivity of Markov Reward	NeurIPS2021 - On the Expressivity of Markov Reward.pdf	https://arxiv.org/pdf/2111.00876	arxiv
NeurIPS	2021	Deep Reinforcement Learning at the Edge of the Statistical Precipice	NeurIPS2021 - Deep Reinforcement Learning at the Edge of the Statistical Precipice.pdf	https://arxiv.org/pdf/2108.13264	arxiv
NeurIPS	2021	MAUVE: Measuring the Gap Between Neural Text and Human Text using Divergence Frontiers	NeurIPS2021 - MAUVE Measuring the Gap Between Neural Text and Human Text using Divergence Frontiers.pdf	https://arxiv.org/pdf/2102.01454	arxiv
NeurIPS	2021	Continuized Accelerations of Deterministic and Stochastic Gradient Descents, and of Gossip Algorithms	NeurIPS2021 - Continuized Accelerations of Deterministic and Stochastic Gradient Descents, and of Gos....pdf	https://papers.nips.cc/paper_files/paper/2021/file/ec26fc2eb2b75aece19c70392dc744c2-Paper.pdf	nips-proceedings
NeurIPS	2021	Moser Flow: Divergence-based Generative Modeling on Manifolds	NeurIPS2021 - Moser Flow Divergence-based Generative Modeling on Manifolds.pdf	https://arxiv.org/pdf/2108.08052	arxiv
NeurIPS	2021	Reduced, Reused and Recycled: The Life of a Dataset in Machine Learning Research	NeurIPS2021 - Reduced, Reused and Recycled The Life of a Dataset in Machine Learning Research.pdf	https://arxiv.org/pdf/2112.01716	arxiv
NeurIPS	2021	ATOM3D: Tasks on Molecules in Three Dimensions	NeurIPS2021 - ATOM3D Tasks on Molecules in Three Dimensions.pdf	https://arxiv.org/pdf/2012.04035	arxiv
NeurIPS	2022	Is Out-of-distribution Detection Learnable?	NeurIPS2022 - Is Out-of-distribution Detection Learnable.pdf	https://arxiv.org/pdf/2210.14707	arxiv
NeurIPS	2022	Photorealistic Text-to-Image Diffusion Models with Deep Language Understanding	NeurIPS2022 - Photorealistic Text-to-Image Diffusion Models with Deep Language Understanding.pdf	https://arxiv.org/pdf/2205.11487	arxiv
NeurIPS	2022	Elucidating the Design Space of Diffusion-Based Generative Models	NeurIPS2022 - Elucidating the Design Space of Diffusion-Based Generative Models.pdf	https://arxiv.org/pdf/2206.00364	arxiv
NeurIPS	2022	ProcTHOR: Large-Scale Embodied AI Using Procedural Generation	NeurIPS2022 - ProcTHOR Large-Scale Embodied AI Using Procedural Generation.pdf	https://arxiv.org/pdf/2206.06994	arxiv
NeurIPS	2022	Using natural language and program abstractions to instill human inductive biases in machines	NeurIPS2022 - Using natural language and program abstractions to instill human inductive biases in ma....pdf	https://arxiv.org/pdf/2205.11558	arxiv
NeurIPS	2022	A Neural Corpus Indexer for Document Retrieval	NeurIPS2022 - A Neural Corpus Indexer for Document Retrieval.pdf	https://arxiv.org/pdf/2206.02743	arxiv
NeurIPS	2022	High-dimensional limit theorems for SGD: Effective dynamics and critical scaling	NeurIPS2022 - High-dimensional limit theorems for SGD Effective dynamics and critical scaling.pdf	https://arxiv.org/pdf/2206.04030	arxiv
